subject,draw,n_train,n_test,pipeline,group,accuracy,best
27,8,160,40,quantum/HS-RBF-ref-SVM,quantum,0.575,"{""clf__C"": 10.0, ""clf__gamma_mult"": 1.0}"
27,8,160,40,quantum/Bures-RBF-ref-SVM,quantum,0.55,"{""clf__C"": 10.0, ""clf__gamma_mult"": 1.0}"
27,8,160,40,quantum/QRE-RBF-ref-SVM,quantum,0.55,"{""clf__C"": 10.0, ""clf__gamma_mult"": 1.0}"
27,9,10,40,classical/TS+LR,classical,0.475,"{""clf__C"": 0.1}"
27,9,10,40,classical/MDM,classical,0.5,{}
27,9,10,40,classical/CSP+LDA,classical,0.575,"{""csp__nfilter"": 2}"
27,9,10,40,control/riemann-kernel-SVM,control,0.5,"{""clf__C"": 10.0}"
27,9,10,40,control/logeuclid-kernel-SVM,control,0.475,"{""clf__C"": 10.0}"
27,9,10,40,quantum/HS-overlap-SVM,quantum,0.45,"{""clf__C"": 0.1}"
27,9,10,40,quantum/Fidelity-SVM,quantum,0.475,"{""clf__C"": 0.1}"
27,9,10,40,quantum/HS-RBF-SVM,quantum,0.6,"{""clf__C"": 10.0, ""clf__gamma_mult"": 1.0}"
27,9,10,40,quantum/Bures-RBF-SVM,quantum,0.45,"{""clf__C"": 10.0, ""clf__gamma_mult"": 1.0}"
27,9,10,40,quantum/QRE-RBF-SVM,quantum,0.45,"{""clf__C"": 10.0, ""clf__gamma_mult"": 1.0}"
27,9,10,40,quantum/HS-overlap-ref-SVM,quantum,0.5,"{""clf__C"": 0.1}"
27,9,10,40,quantum/Fidelity-ref-SVM,quantum,0.5,"{""clf__C"": 0.1}"
27,9,10,40,quantum/HS-RBF-ref-SVM,quantum,0.45,"{""clf__C"": 10.0, ""clf__gamma_mult"": 0.25}"
27,9,10,40,quantum/Bures-RBF-ref-SVM,quantum,0.425,"{""clf__C"": 10.0, ""clf__gamma_mult"": 0.25}"
27,9,10,40,quantum/QRE-RBF-ref-SVM,quantum,0.45,"{""clf__C"": 10.0, ""clf__gamma_mult"": 0.25}"
27,9,20,40,classical/TS+LR,classical,0.475,"{""clf__C"": 1.0}"
27,9,20,40,classical/MDM,classical,0.575,{}
27,9,20,40,classical/CSP+LDA,classical,0.6,"{""csp__nfilter"": 4}"
27,9,20,40,control/riemann-kernel-SVM,control,0.525,"{""clf__C"": 10.0}"
27,9,20,40,control/logeuclid-kernel-SVM,control,0.45,"{""clf__C"": 10.0}"
27,9,20,40,quantum/HS-overlap-SVM,quantum,0.55,"{""clf__C"": 0.1}"
27,9,20,40,quantum/Fidelity-SVM,quantum,0.575,"{""clf__C"": 0.1}"
27,9,20,40,quantum/HS-RBF-SVM,quantum,0.6,"{""clf__C"": 10.0, ""clf__gamma_mult"": 1.0}"
27,9,20,40,quantum/Bures-RBF-SVM,quantum,0.525,"{""clf__C"": 10.0, ""clf__gamma_mult"": 1.0}"
27,9,20,40,quantum/QRE-RBF-SVM,quantum,0.575,"{""clf__C"": 10.0, ""clf__gamma_mult"": 1.0}"
27,9,20,40,quantum/HS-overlap-ref-SVM,quantum,0.575,"{""clf__C"": 10.0}"
27,9,20,40,quantum/Fidelity-ref-SVM,quantum,0.55,"{""clf__C"": 0.1}"
27,9,20,40,quantum/HS-RBF-ref-SVM,quantum,0.6,"{""clf__C"": 10.0, ""clf__gamma_mult"": 0.25}"
27,9,20,40,quantum/Bures-RBF-ref-SVM,quantum,0.525,"{""clf__C"": 10.0, ""clf__gamma_mult"": 0.25}"
27,9,20,40,quantum/QRE-RBF-ref-SVM,quantum,0.525,"{""clf__C"": 10.0, ""clf__gamma_mult"": 0.25}"
27,9,40,40,classical/TS+LR,classical,0.6,"{""clf__C"": 10.0}"
27,9,40,40,classical/MDM,classical,0.6,{}
27,9,40,40,classical/CSP+LDA,classical,0.55,"{""csp__nfilter"": 4}"
27,9,40,40,control/riemann-kernel-SVM,control,0.5,"{""clf__C"": 10.0}"
27,9,40,40,control/logeuclid-kernel-SVM,control,0.55,"{""clf__C"": 10.0}"
27,9,40,40,quantum/HS-overlap-SVM,quantum,0.525,"{""clf__C"": 0.1}"
27,9,40,40,quantum/Fidelity-SVM,quantum,0.55,"{""clf__C"": 0.1}"
27,9,40,40,quantum/HS-RBF-SVM,quantum,0.6,"{""clf__C"": 10.0, ""clf__gamma_mult"": 1.0}"
27,9,40,40,quantum/Bures-RBF-SVM,quantum,0.55,"{""clf__C"": 10.0, ""clf__gamma_mult"": 1.0}"
27,9,40,40,quantum/QRE-RBF-SVM,quantum,0.575,"{""clf__C"": 10.0, ""clf__gamma_mult"": 1.0}"
27,9,40,40,quantum/HS-overlap-ref-SVM,quantum,0.525,"{""clf__C"": 10.0}"
27,9,40,40,quantum/Fidelity-ref-SVM,quantum,0.6,"{""clf__C"": 0.1}"
27,9,40,40,quantum/HS-RBF-ref-SVM,quantum,0.525,"{""clf__C"": 10.0, ""clf__gamma_mult"": 0.25}"
27,9,40,40,quantum/Bures-RBF-ref-SVM,quantum,0.525,"{""clf__C"": 10.0, ""clf__gamma_mult"": 0.25}"
27,9,40,40,quantum/QRE-RBF-ref-SVM,quantum,0.5,"{""clf__C"": 10.0, ""clf__gamma_mult"": 0.25}"
27,9,80,40,classical/TS+LR,classical,0.65,"{""clf__C"": 0.1}"
27,9,80,40,classical/MDM,classical,0.5,{}
27,9,80,40,classical/CSP+LDA,classical,0.5,"{""csp__nfilter"": 4}"
27,9,80,40,control/riemann-kernel-SVM,control,0.575,"{""clf__C"": 10.0}"
27,9,80,40,control/logeuclid-kernel-SVM,control,0.6,"{""clf__C"": 10.0}"
27,9,80,40,quantum/HS-overlap-SVM,quantum,0.4,"{""clf__C"": 0.1}"
27,9,80,40,quantum/Fidelity-SVM,quantum,0.55,"{""clf__C"": 0.1}"
27,9,80,40,quantum/HS-RBF-SVM,quantum,0.375,"{""clf__C"": 10.0, ""clf__gamma_mult"": 4.0}"
27,9,80,40,quantum/Bures-RBF-SVM,quantum,0.525,"{""clf__C"": 10.0, ""clf__gamma_mult"": 1.0}"
27,9,80,40,quantum/QRE-RBF-SVM,quantum,0.475,"{""clf__C"": 10.0, ""clf__gamma_mult"": 1.0}"
27,9,80,40,quantum/HS-overlap-ref-SVM,quantum,0.6,"{""clf__C"": 10.0}"
27,9,80,40,quantum/Fidelity-ref-SVM,quantum,0.55,"{""clf__C"": 0.1}"
27,9,80,40,quantum/HS-RBF-ref-SVM,quantum,0.475,"{""clf__C"": 10.0, ""clf__gamma_mult"": 1.0}"
27,9,80,40,quantum/Bures-RBF-ref-SVM,quantum,0.425,"{""clf__C"": 10.0, ""clf__gamma_mult"": 1.0}"
27,9,80,40,quantum/QRE-RBF-ref-SVM,quantum,0.45,"{""clf__C"": 10.0, ""clf__gamma_mult"": 1.0}"
27,9,160,40,classical/TS+LR,classical,0.575,"{""clf__C"": 0.1}"
27,9,160,40,classical/MDM,classical,0.45,{}
27,9,160,40,classical/CSP+LDA,classical,0.625,"{""csp__nfilter"": 6}"
27,9,160,40,control/riemann-kernel-SVM,control,0.625,"{""clf__C"": 10.0}"
27,9,160,40,control/logeuclid-kernel-SVM,control,0.6,"{""clf__C"": 10.0}"
27,9,160,40,quantum/HS-overlap-SVM,quantum,0.45,"{""clf__C"": 0.1}"
27,9,160,40,quantum/Fidelity-SVM,quantum,0.4,"{""clf__C"": 0.1}"
27,9,160,40,quantum/HS-RBF-SVM,quantum,0.6,"{""clf__C"": 10.0, ""clf__gamma_mult"": 4.0}"
27,9,160,40,quantum/Bures-RBF-SVM,quantum,0.5,"{""clf__C"": 10.0, ""clf__gamma_mult"": 1.0}"
27,9,160,40,quantum/QRE-RBF-SVM,quantum,0.55,"{""clf__C"": 10.0, ""clf__gamma_mult"": 1.0}"
27,9,160,40,quantum/HS-overlap-ref-SVM,quantum,0.7,"{""clf__C"": 10.0}"
27,9,160,40,quantum/Fidelity-ref-SVM,quantum,0.675,"{""clf__C"": 10.0}"
27,9,160,40,quantum/HS-RBF-ref-SVM,quantum,0.575,"{""clf__C"": 10.0, ""clf__gamma_mult"": 1.0}"
27,9,160,40,quantum/Bures-RBF-ref-SVM,quantum,0.55,"{""clf__C"": 10.0, ""clf__gamma_mult"": 1.0}"
27,9,160,40,quantum/QRE-RBF-ref-SVM,quantum,0.55,"{""clf__C"": 10.0, ""clf__gamma_mult"": 1.0}"
28,0,10,40,classical/TS+LR,classical,0.475,"{""clf__C"": 10.0}"
28,0,10,40,classical/MDM,classical,0.5,{}
28,0,10,40,classical/CSP+LDA,classical,0.425,"{""csp__nfilter"": 4}"
28,0,10,40,control/riemann-kernel-SVM,control,0.475,"{""clf__C"": 10.0}"
28,0,10,40,control/logeuclid-kernel-SVM,control,0.525,"{""clf__C"": 10.0}"
28,0,10,40,quantum/HS-overlap-SVM,quantum,0.425,"{""clf__C"": 0.1}"
28,0,10,40,quantum/Fidelity-SVM,quantum,0.5,"{""clf__C"": 0.1}"
28,0,10,40,quantum/HS-RBF-SVM,quantum,0.475,"{""clf__C"": 10.0, ""clf__gamma_mult"": 0.25}"
28,0,10,40,quantum/Bures-RBF-SVM,quantum,0.5,"{""clf__C"": 10.0, ""clf__gamma_mult"": 0.25}"
28,0,10,40,quantum/QRE-RBF-SVM,quantum,0.475,"{""clf__C"": 10.0, ""clf__gamma_mult"": 0.25}"
28,0,10,40,quantum/HS-overlap-ref-SVM,quantum,0.475,"{""clf__C"": 0.1}"
28,0,10,40,quantum/Fidelity-ref-SVM,quantum,0.475,"{""clf__C"": 0.1}"
28,0,10,40,quantum/HS-RBF-ref-SVM,quantum,0.55,"{""clf__C"": 10.0, ""clf__gamma_mult"": 1.0}"
28,0,10,40,quantum/Bures-RBF-ref-SVM,quantum,0.55,"{""clf__C"": 10.0, ""clf__gamma_mult"": 0.25}"
28,0,10,40,quantum/QRE-RBF-ref-SVM,quantum,0.525,"{""clf__C"": 10.0, ""clf__gamma_mult"": 0.25}"
28,0,20,40,classical/TS+LR,classical,0.5,"{""clf__C"": 1.0}"
28,0,20,40,classical/MDM,classical,0.5,{}
28,0,20,40,classical/CSP+LDA,classical,0.45,"{""csp__nfilter"": 4}"
28,0,20,40,control/riemann-kernel-SVM,control,0.55,"{""clf__C"": 10.0}"
28,0,20,40,control/logeuclid-kernel-SVM,control,0.525,"{""clf__C"": 10.0}"
28,0,20,40,quantum/HS-overlap-SVM,quantum,0.425,"{""clf__C"": 0.1}"
28,0,20,40,quantum/Fidelity-SVM,quantum,0.45,"{""clf__C"": 0.1}"
28,0,20,40,quantum/HS-RBF-SVM,quantum,0.475,"{""clf__C"": 10.0, ""clf__gamma_mult"": 0.25}"
28,0,20,40,quantum/Bures-RBF-SVM,quantum,0.425,"{""clf__C"": 0.1, ""clf__gamma_mult"": 0.25}"
28,0,20,40,quantum/QRE-RBF-SVM,quantum,0.45,"{""clf__C"": 10.0, ""clf__gamma_mult"": 0.25}"
28,0,20,40,quantum/HS-overlap-ref-SVM,quantum,0.475,"{""clf__C"": 0.1}"
28,0,20,40,quantum/Fidelity-ref-SVM,quantum,0.475,"{""clf__C"": 0.1}"
28,0,20,40,quantum/HS-RBF-ref-SVM,quantum,0.5,"{""clf__C"": 10.0, ""clf__gamma_mult"": 0.25}"
28,0,20,40,quantum/Bures-RBF-ref-SVM,quantum,0.5,"{""clf__C"": 10.0, ""clf__gamma_mult"": 0.25}"
28,0,20,40,quantum/QRE-RBF-ref-SVM,quantum,0.5,"{""clf__C"": 10.0, ""clf__gamma_mult"": 0.25}"
28,0,40,40,classical/TS+LR,classical,0.525,"{""clf__C"": 0.1}"
28,0,40,40,classical/MDM,classical,0.5,{}
28,0,40,40,classical/CSP+LDA,classical,0.4,"{""csp__nfilter"": 2}"
28,0,40,40,control/riemann-kernel-SVM,control,0.5,"{""clf__C"": 10.0}"
28,0,40,40,control/logeuclid-kernel-SVM,control,0.525,"{""clf__C"": 10.0}"
28,0,40,40,quantum/HS-overlap-SVM,quantum,0.425,"{""clf__C"": 0.1}"
28,0,40,40,quantum/Fidelity-SVM,quantum,0.475,"{""clf__C"": 0.1}"
28,0,40,40,quantum/HS-RBF-SVM,quantum,0.5,"{""clf__C"": 10.0, ""clf__gamma_mult"": 1.0}"
28,0,40,40,quantum/Bures-RBF-SVM,quantum,0.45,"{""clf__C"": 10.0, ""clf__gamma_mult"": 1.0}"
28,0,40,40,quantum/QRE-RBF-SVM,quantum,0.475,"{""clf__C"": 10.0, ""clf__gamma_mult"": 0.25}"
28,0,40,40,quantum/HS-overlap-ref-SVM,quantum,0.5,"{""clf__C"": 10.0}"
28,0,40,40,quantum/Fidelity-ref-SVM,quantum,0.5,"{""clf__C"": 10.0}"
28,0,40,40,quantum/HS-RBF-ref-SVM,quantum,0.475,"{""clf__C"": 10.0, ""clf__gamma_mult"": 0.25}"
28,0,40,40,quantum/Bures-RBF-ref-SVM,quantum,0.475,"{""clf__C"": 10.0, ""clf__gamma_mult"": 0.25}"
28,0,40,40,quantum/QRE-RBF-ref-SVM,quantum,0.45,"{""clf__C"": 10.0, ""clf__gamma_mult"": 0.25}"
28,0,80,40,classical/TS+LR,classical,0.5,"{""clf__C"": 0.1}"
28,0,80,40,classical/MDM,classical,0.425,{}
28,0,80,40,classical/CSP+LDA,classical,0.475,"{""csp__nfilter"": 4}"
28,0,80,40,control/riemann-kernel-SVM,control,0.6,"{""clf__C"": 10.0}"
28,0,80,40,control/logeuclid-kernel-SVM,control,0.6,"{""clf__C"": 10.0}"
28,0,80,40,quantum/HS-overlap-SVM,quantum,0.425,"{""clf__C"": 0.1}"
28,0,80,40,quantum/Fidelity-SVM,quantum,0.45,"{""clf__C"": 0.1}"
28,0,80,40,quantum/HS-RBF-SVM,quantum,0.375,"{""clf__C"": 10.0, ""clf__gamma_mult"": 4.0}"
28,0,80,40,quantum/Bures-RBF-SVM,quantum,0.475,"{""clf__C"": 10.0, ""clf__gamma_mult"": 1.0}"
28,0,80,40,quantum/QRE-RBF-SVM,quantum,0.475,"{""clf__C"": 10.0, ""clf__gamma_mult"": 1.0}"
28,0,80,40,quantum/HS-overlap-ref-SVM,quantum,0.525,"{""clf__C"": 10.0}"
28,0,80,40,quantum/Fidelity-ref-SVM,quantum,0.45,"{""clf__C"": 0.1}"
28,0,80,40,quantum/HS-RBF-ref-SVM,quantum,0.525,"{""clf__C"": 10.0, ""clf__gamma_mult"": 0.25}"
28,0,80,40,quantum/Bures-RBF-ref-SVM,quantum,0.575,"{""clf__C"": 10.0, ""clf__gamma_mult"": 0.25}"
28,0,80,40,quantum/QRE-RBF-ref-SVM,quantum,0.575,"{""clf__C"": 10.0, ""clf__gamma_mult"": 0.25}"
28,0,160,40,classical/TS+LR,classical,0.525,"{""clf__C"": 0.1}"
28,0,160,40,classical/MDM,classical,0.525,{}
28,0,160,40,classical/CSP+LDA,classical,0.5,"{""csp__nfilter"": 4}"
28,0,160,40,control/riemann-kernel-SVM,control,0.575,"{""clf__C"": 10.0}"
28,0,160,40,control/logeuclid-kernel-SVM,control,0.55,"{""clf__C"": 10.0}"
28,0,160,40,quantum/HS-overlap-SVM,quantum,0.525,"{""clf__C"": 0.1}"
28,0,160,40,quantum/Fidelity-SVM,quantum,0.625,"{""clf__C"": 0.1}"
28,0,160,40,quantum/HS-RBF-SVM,quantum,0.4,"{""clf__C"": 10.0, ""clf__gamma_mult"": 4.0}"
28,0,160,40,quantum/Bures-RBF-SVM,quantum,0.45,"{""clf__C"": 10.0, ""clf__gamma_mult"": 1.0}"
28,0,160,40,quantum/QRE-RBF-SVM,quantum,0.425,"{""clf__C"": 10.0, ""clf__gamma_mult"": 1.0}"
28,0,160,40,quantum/HS-overlap-ref-SVM,quantum,0.525,"{""clf__C"": 10.0}"
28,0,160,40,quantum/Fidelity-ref-SVM,quantum,0.5,"{""clf__C"": 10.0}"
28,0,160,40,quantum/HS-RBF-ref-SVM,quantum,0.475,"{""clf__C"": 10.0, ""clf__gamma_mult"": 1.0}"
28,0,160,40,quantum/Bures-RBF-ref-SVM,quantum,0.5,"{""clf__C"": 10.0, ""clf__gamma_mult"": 1.0}"
28,0,160,40,quantum/QRE-RBF-ref-SVM,quantum,0.5,"{""clf__C"": 10.0, ""clf__gamma_mult"": 1.0}"
28,1,10,40,classical/TS+LR,classical,0.575,"{""clf__C"": 0.1}"
28,1,10,40,classical/MDM,classical,0.55,{}
28,1,10,40,classical/CSP+LDA,classical,0.5,"{""csp__nfilter"": 2}"
28,1,10,40,control/riemann-kernel-SVM,control,0.425,"{""clf__C"": 10.0}"
28,1,10,40,control/logeuclid-kernel-SVM,control,0.475,"{""clf__C"": 10.0}"
28,1,10,40,quantum/HS-overlap-SVM,quantum,0.55,"{""clf__C"": 0.1}"
28,1,10,40,quantum/Fidelity-SVM,quantum,0.55,"{""clf__C"": 0.1}"
28,1,10,40,quantum/HS-RBF-SVM,quantum,0.4,"{""clf__C"": 10.0, ""clf__gamma_mult"": 1.0}"
28,1,10,40,quantum/Bures-RBF-SVM,quantum,0.525,"{""clf__C"": 10.0, ""clf__gamma_mult"": 1.0}"
28,1,10,40,quantum/QRE-RBF-SVM,quantum,0.6,"{""clf__C"": 10.0, ""clf__gamma_mult"": 0.25}"
28,1,10,40,quantum/HS-overlap-ref-SVM,quantum,0.475,"{""clf__C"": 0.1}"
28,1,10,40,quantum/Fidelity-ref-SVM,quantum,0.525,"{""clf__C"": 0.1}"
28,1,10,40,quantum/HS-RBF-ref-SVM,quantum,0.45,"{""clf__C"": 10.0, ""clf__gamma_mult"": 0.25}"
28,1,10,40,quantum/Bures-RBF-ref-SVM,quantum,0.45,"{""clf__C"": 10.0, ""clf__gamma_mult"": 0.25}"
28,1,10,40,quantum/QRE-RBF-ref-SVM,quantum,0.45,"{""clf__C"": 10.0, ""clf__gamma_mult"": 0.25}"
28,1,20,40,classical/TS+LR,classical,0.4,"{""clf__C"": 1.0}"
28,1,20,40,classical/MDM,classical,0.55,{}
28,1,20,40,classical/CSP+LDA,classical,0.5,"{""csp__nfilter"": 2}"
28,1,20,40,control/riemann-kernel-SVM,control,0.4,"{""clf__C"": 10.0}"
28,1,20,40,control/logeuclid-kernel-SVM,control,0.425,"{""clf__C"": 10.0}"
28,1,20,40,quantum/HS-overlap-SVM,quantum,0.45,"{""clf__C"": 0.1}"
28,1,20,40,quantum/Fidelity-SVM,quantum,0.45,"{""clf__C"": 0.1}"
28,1,20,40,quantum/HS-RBF-SVM,quantum,0.45,"{""clf__C"": 10.0, ""clf__gamma_mult"": 0.25}"
28,1,20,40,quantum/Bures-RBF-SVM,quantum,0.475,"{""clf__C"": 10.0, ""clf__gamma_mult"": 0.25}"
28,1,20,40,quantum/QRE-RBF-SVM,quantum,0.5,"{""clf__C"": 10.0, ""clf__gamma_mult"": 0.25}"
28,1,20,40,quantum/HS-overlap-ref-SVM,quantum,0.5,"{""clf__C"": 0.1}"
28,1,20,40,quantum/Fidelity-ref-SVM,quantum,0.5,"{""clf__C"": 0.1}"
28,1,20,40,quantum/HS-RBF-ref-SVM,quantum,0.5,"{""clf__C"": 10.0, ""clf__gamma_mult"": 0.25}"
28,1,20,40,quantum/Bures-RBF-ref-SVM,quantum,0.5,"{""clf__C"": 10.0, ""clf__gamma_mult"": 0.25}"
28,1,20,40,quantum/QRE-RBF-ref-SVM,quantum,0.5,"{""clf__C"": 10.0, ""clf__gamma_mult"": 0.25}"
28,1,40,40,classical/TS+LR,classical,0.425,"{""clf__C"": 10.0}"
28,1,40,40,classical/MDM,classical,0.575,{}
28,1,40,40,classical/CSP+LDA,classical,0.45,"{""csp__nfilter"": 6}"
28,1,40,40,control/riemann-kernel-SVM,control,0.425,"{""clf__C"": 10.0}"
28,1,40,40,control/logeuclid-kernel-SVM,control,0.45,"{""clf__C"": 10.0}"
28,1,40,40,quantum/HS-overlap-SVM,quantum,0.55,"{""clf__C"": 0.1}"
28,1,40,40,quantum/Fidelity-SVM,quantum,0.55,"{""clf__C"": 0.1}"
28,1,40,40,quantum/HS-RBF-SVM,quantum,0.45,"{""clf__C"": 10.0, ""clf__gamma_mult"": 1.0}"
28,1,40,40,quantum/Bures-RBF-SVM,quantum,0.45,"{""clf__C"": 10.0, ""clf__gamma_mult"": 0.25}"
28,1,40,40,quantum/QRE-RBF-SVM,quantum,0.425,"{""clf__C"": 10.0, ""clf__gamma_mult"": 0.25}"
28,1,40,40,quantum/HS-overlap-ref-SVM,quantum,0.5,"{""clf__C"": 10.0}"
28,1,40,40,quantum/Fidelity-ref-SVM,quantum,0.55,"{""clf__C"": 0.1}"
28,1,40,40,quantum/HS-RBF-ref-SVM,quantum,0.45,"{""clf__C"": 10.0, ""clf__gamma_mult"": 0.25}"
28,1,40,40,quantum/Bures-RBF-ref-SVM,quantum,0.425,"{""clf__C"": 10.0, ""clf__gamma_mult"": 0.25}"
28,1,40,40,quantum/QRE-RBF-ref-SVM,quantum,0.425,"{""clf__C"": 10.0, ""clf__gamma_mult"": 0.25}"
28,1,80,40,classical/TS+LR,classical,0.525,"{""clf__C"": 10.0}"
28,1,80,40,classical/MDM,classical,0.5,{}
28,1,80,40,classical/CSP+LDA,classical,0.525,"{""csp__nfilter"": 2}"
28,1,80,40,control/riemann-kernel-SVM,control,0.55,"{""clf__C"": 10.0}"
28,1,80,40,control/logeuclid-kernel-SVM,control,0.525,"{""clf__C"": 10.0}"
28,1,80,40,quantum/HS-overlap-SVM,quantum,0.475,"{""clf__C"": 0.1}"
28,1,80,40,quantum/Fidelity-SVM,quantum,0.55,"{""clf__C"": 0.1}"
28,1,80,40,quantum/HS-RBF-SVM,quantum,0.5,"{""clf__C"": 10.0, ""clf__gamma_mult"": 1.0}"
28,1,80,40,quantum/Bures-RBF-SVM,quantum,0.45,"{""clf__C"": 10.0, ""clf__gamma_mult"": 1.0}"
28,1,80,40,quantum/QRE-RBF-SVM,quantum,0.45,"{""clf__C"": 10.0, ""clf__gamma_mult"": 1.0}"
28,1,80,40,quantum/HS-overlap-ref-SVM,quantum,0.475,"{""clf__C"": 10.0}"
28,1,80,40,quantum/Fidelity-ref-SVM,quantum,0.55,"{""clf__C"": 0.1}"
28,1,80,40,quantum/HS-RBF-ref-SVM,quantum,0.475,"{""clf__C"": 10.0, ""clf__gamma_mult"": 0.25}"
28,1,80,40,quantum/Bures-RBF-ref-SVM,quantum,0.5,"{""clf__C"": 10.0, ""clf__gamma_mult"": 0.25}"
28,1,80,40,quantum/QRE-RBF-ref-SVM,quantum,0.5,"{""clf__C"": 10.0, ""clf__gamma_mult"": 0.25}"
28,1,160,40,classical/TS+LR,classical,0.525,"{""clf__C"": 0.1}"
28,1,160,40,classical/MDM,classical,0.525,{}
28,1,160,40,classical/CSP+LDA,classical,0.5,"{""csp__nfilter"": 4}"
28,1,160,40,control/riemann-kernel-SVM,control,0.575,"{""clf__C"": 10.0}"
28,1,160,40,control/logeuclid-kernel-SVM,control,0.55,"{""clf__C"": 10.0}"
28,1,160,40,quantum/HS-overlap-SVM,quantum,0.525,"{""clf__C"": 0.1}"
28,1,160,40,quantum/Fidelity-SVM,quantum,0.625,"{""clf__C"": 0.1}"
28,1,160,40,quantum/HS-RBF-SVM,quantum,0.4,"{""clf__C"": 10.0, ""clf__gamma_mult"": 4.0}"
28,1,160,40,quantum/Bures-RBF-SVM,quantum,0.45,"{""clf__C"": 10.0, ""clf__gamma_mult"": 1.0}"
28,1,160,40,quantum/QRE-RBF-SVM,quantum,0.425,"{""clf__C"": 10.0, ""clf__gamma_mult"": 1.0}"
28,1,160,40,quantum/HS-overlap-ref-SVM,quantum,0.525,"{""clf__C"": 10.0}"
28,1,160,40,quantum/Fidelity-ref-SVM,quantum,0.5,"{""clf__C"": 10.0}"
28,1,160,40,quantum/HS-RBF-ref-SVM,quantum,0.475,"{""clf__C"": 10.0, ""clf__gamma_mult"": 1.0}"
28,1,160,40,quantum/Bures-RBF-ref-SVM,quantum,0.5,"{""clf__C"": 10.0, ""clf__gamma_mult"": 1.0}"
28,1,160,40,quantum/QRE-RBF-ref-SVM,quantum,0.5,"{""clf__C"": 10.0, ""clf__gamma_mult"": 1.0}"
28,2,10,40,classical/TS+LR,classical,0.5,"{""clf__C"": 0.1}"
28,2,10,40,classical/MDM,classical,0.475,{}
28,2,10,40,classical/CSP+LDA,classical,0.425,"{""csp__nfilter"": 2}"
28,2,10,40,control/riemann-kernel-SVM,control,0.5,"{""clf__C"": 10.0}"
28,2,10,40,control/logeuclid-kernel-SVM,control,0.5,"{""clf__C"": 10.0}"
28,2,10,40,quantum/HS-overlap-SVM,quantum,0.425,"{""clf__C"": 10.0}"
28,2,10,40,quantum/Fidelity-SVM,quantum,0.475,"{""clf__C"": 0.1}"
28,2,10,40,quantum/HS-RBF-SVM,quantum,0.525,"{""clf__C"": 10.0, ""clf__gamma_mult"": 0.25}"
28,2,10,40,quantum/Bures-RBF-SVM,quantum,0.45,"{""clf__C"": 10.0, ""clf__gamma_mult"": 0.25}"
28,2,10,40,quantum/QRE-RBF-SVM,quantum,0.45,"{""clf__C"": 10.0, ""clf__gamma_mult"": 0.25}"
28,2,10,40,quantum/HS-overlap-ref-SVM,quantum,0.5,"{""clf__C"": 10.0}"
28,2,10,40,quantum/Fidelity-ref-SVM,quantum,0.45,"{""clf__C"": 10.0}"
28,2,10,40,quantum/HS-RBF-ref-SVM,quantum,0.525,"{""clf__C"": 10.0, ""clf__gamma_mult"": 1.0}"
28,2,10,40,quantum/Bures-RBF-ref-SVM,quantum,0.575,"{""clf__C"": 10.0, ""clf__gamma_mult"": 0.25}"
28,2,10,40,quantum/QRE-RBF-ref-SVM,quantum,0.55,"{""clf__C"": 10.0, ""clf__gamma_mult"": 1.0}"
28,2,20,40,classical/TS+LR,classical,0.5,"{""clf__C"": 0.1}"
28,2,20,40,classical/MDM,classical,0.575,{}
28,2,20,40,classical/CSP+LDA,classical,0.475,"{""csp__nfilter"": 6}"
28,2,20,40,control/riemann-kernel-SVM,control,0.575,"{""clf__C"": 10.0}"
28,2,20,40,control/logeuclid-kernel-SVM,control,0.575,"{""clf__C"": 0.1}"
28,2,20,40,quantum/HS-overlap-SVM,quantum,0.45,"{""clf__C"": 0.1}"
28,2,20,40,quantum/Fidelity-SVM,quantum,0.475,"{""clf__C"": 0.1}"
28,2,20,40,quantum/HS-RBF-SVM,quantum,0.425,"{""clf__C"": 10.0, ""clf__gamma_mult"": 4.0}"
28,2,20,40,quantum/Bures-RBF-SVM,quantum,0.375,"{""clf__C"": 10.0, ""clf__gamma_mult"": 0.25}"
28,2,20,40,quantum/QRE-RBF-SVM,quantum,0.425,"{""clf__C"": 10.0, ""clf__gamma_mult"": 0.25}"
28,2,20,40,quantum/HS-overlap-ref-SVM,quantum,0.6,"{""clf__C"": 10.0}"
28,2,20,40,quantum/Fidelity-ref-SVM,quantum,0.45,"{""clf__C"": 0.1}"
28,2,20,40,quantum/HS-RBF-ref-SVM,quantum,0.575,"{""clf__C"": 10.0, ""clf__gamma_mult"": 0.25}"
28,2,20,40,quantum/Bures-RBF-ref-SVM,quantum,0.55,"{""clf__C"": 10.0, ""clf__gamma_mult"": 0.25}"
28,2,20,40,quantum/QRE-RBF-ref-SVM,quantum,0.55,"{""clf__C"": 10.0, ""clf__gamma_mult"": 0.25}"
28,2,40,40,classical/TS+LR,classical,0.625,"{""clf__C"": 10.0}"
28,2,40,40,classical/MDM,classical,0.475,{}
28,2,40,40,classical/CSP+LDA,classical,0.575,"{""csp__nfilter"": 4}"
28,2,40,40,control/riemann-kernel-SVM,control,0.675,"{""clf__C"": 10.0}"
28,2,40,40,control/logeuclid-kernel-SVM,control,0.65,"{""clf__C"": 10.0}"
28,2,40,40,quantum/HS-overlap-SVM,quantum,0.475,"{""clf__C"": 0.1}"
